full_name,sm_axis,eccentricity,inclination,longitude,arg_perihelion,dist_perihelion,dist_aphelion,orb_period,data_arc,albedo,rot_per,spec_B,spec_T,moid,diameter,size
Comas Sola (1929,2.779324143,0.235448459,9.601126486,111.133559,323.4849249,2.124936557,3.43371173,4.633583593,43019,0.045,20.456,B,XFU,1.14865,35.943,SMALL
Fanny (1916 ZC),2.771188409,0.21257741,5.399758534,209.7548084,32.81641675,2.182096353,3.360280465,4.613253107,37755,0.025,5.44,Ch,C,1.17175,28.856,SMALL
Montana (1914 VR),2.534616976,0.06094189,4.513027654,238.3260503,354.5736914,2.380152627,2.689081326,4.035308213,44104,0.287,4.5463,S,S,1.36883,21.197,SMALL
Eunomia,2.644100304,0.186084362,11.75242982,292.9343387,98.49868084,2.152074586,3.136126023,4.299570669,61247,0.248,6.083,S,S,1.19485,231.689,LARGE
Ismene,3.985505453,0.166422578,6.177402734,175.455997,271.2188038,3.32222736,4.648783545,7.956706046,45570,0.066,6.52,X,P,2.34662,159,LARGE
Nassovia (1904 OA),2.883532787,0.058547799,3.275142538,94.09258794,338.9995173,2.714708289,3.052357285,4.896610315,42123,0.213,9.382,Sq,S,1.72963,32.333,SMALL
Eurynome,2.446712334,0.189961407,4.613126822,206.5830756,201.1851897,1.981931415,2.911493252,3.827212436,56932,0.287,5.978,S,S,0.99198,63.479,SMALL
Aurora,3.156538543,0.093944768,7.970755524,2.574732729,60.4684185,2.859998263,3.453078823,5.608217487,53713,0.0395,7.22,C,CP,1.88276,204.89,LARGE
Phocaea,2.400160565,0.254613898,21.60484031,214.1306087,90.26321459,1.789046327,3.011274804,3.718507367,58150,0.35,9.9341,S,S,0.923495,61.054,SMALL
Hersilia,2.741163845,0.038191,3.778693034,145.0497112,302.5465444,2.636476056,2.845851633,4.538482808,51081,0.057,11.122,C,C,1.65529,113,LARGE
Kartvelia (1914 UF),3.217018741,0.116866461,19.15550751,138.087183,156.0956249,2.841057147,3.592980335,5.770169737,34052,0.048,19.04,Xc,CPU,1.83428,72.927,LARGE
Emita (1902 HP),2.7405136,0.157416401,9.844594495,66.7413258,349.643421,2.309111813,3.171915387,4.536868011,42925,0.032,14.412,Ch,C,1.32166,121.552,LARGE
Geographos (1951 RA),1.245302339,0.335440517,13.33734799,337.1954002,276.915035,0.827577479,1.663027198,1.389697921,24903,0.29,5.22204,S,S,0.0298285,2.56,SMALL
Victoria,2.334315086,0.220171581,8.373074237,235.4101683,69.64182011,1.820365243,2.84826493,3.566542615,61581,0.163,8.6599,L,S,0.824953,115.087,LARGE
Eurydike,2.674602632,0.303691881,4.991337846,359.3525319,339.2768406,1.862347527,3.486857737,4.374184564,56708,0.117,5.357,Xk,M,0.853735,62.377,SMALL
Hercynia (1900 FK),2.992953327,0.241691733,12.65385536,134.1399782,277.1629609,2.269581252,3.716325403,5.177953177,43433,0.191,21.806,L,S,1.32145,36.698,SMALL
Cyrene,3.063879244,0.135492255,7.213056375,319.019941,290.0113214,2.648747336,3.479011151,5.363097211,53328,0.279,12.708,S,SR,1.64564,72.175,LARGE
Harmonia,2.267246519,0.04702133,4.257400417,94.18886002,269.7316159,2.160637572,2.373855467,3.413943411,56470,0.22,8.91,S,S,1.16159,111.251,LARGE
Nikko (1927 WC),2.237153948,0.105697725,5.701420232,71.90230301,1.836707199,2.000691865,2.473616032,3.346200876,32377,0.37,3.79,S,S,1.01535,8.347,SMALL
Kalliope,2.914849074,0.097676889,13.71531205,66.05276971,356.0820817,2.630135684,3.199562465,4.976595142,60393,0.166,4.1483,X,M,1.64321,167.536,LARGE
Luisa (1906 UJ),2.77385779,0.291831489,16.70761941,44.18080228,294.2697182,1.96435874,3.58335684,4.619920372,41278,0.115,9.566,K,S,1.02142,70.249,SMALL
Hedera (1933 BE),2.715718161,0.157837388,6.049873756,140.6459226,217.3552663,2.287076299,3.144360024,4.475434931,38082,0.636,19.9,X,E,1.28529,13.239,SMALL
Virginia,2.648793849,0.285985529,2.838219801,173.5287309,200.0805719,1.89127714,3.406310558,4.311024004,59008,0.05,14.315,Ch,X,0.891422,84.074,LARGE
Thia (1895 BZ),2.585483566,0.242532617,11.94163463,255.230746,308.9823523,1.958419472,3.212547661,4.15739103,43888,0.061,10.08,Ch,C,0.977069,108.894,LARGE
Nuwa,2.983200869,0.123166297,2.201283037,206.1452243,153.3872713,2.615771065,3.350630673,5.152665473,43831,0.052,8.1347,Cb,CX,1.61167,119.128,LARGE
Freia,3.412680486,0.165828749,2.121739648,204.303876,252.4037878,2.846759951,3.978601022,6.304514473,56747,0.058,9.973,X,P,1.86461,145.423,LARGE
Benkoela (1917 BH),3.202592437,0.029158001,25.41381887,116.9259487,96.95759046,3.109211242,3.295973632,5.731399914,37314,0.29,8.2,A,A,2.15713,38.724,SMALL
Isabella,2.722062614,0.123634824,5.259841107,32.58102677,14.91173911,2.385520882,3.058604345,4.491127333,48997,0.0436,6.672,Cb,CF,1.39508,86.65,LARGE
Gerda,3.224719234,0.031700159,1.640270992,178.12936,321.7146919,3.122495121,3.326943346,5.790899984,53609,0.297,10.685,L,ST,2.13584,70.676,SMALL
Edburga (1896 CL),2.585541898,0.341264698,18.72616792,103.7147807,252.7869511,1.703187723,3.467896074,4.157531726,37443,0.129,15.773,X,M,0.795395,34.242,SMALL
Patry (1942 KA),2.234426947,0.129770494,4.940006559,74.66835926,196.5951939,1.944464258,2.524389636,3.340084412,28217,0.366,5.92,Sl,S,0.928451,7.548,SMALL
Dynamene,2.740229644,0.13189259,6.892692637,324.3129648,86.18938646,2.378813659,3.101645629,4.536162903,51151,0.053,37.394,Ch,C,1.40089,128.301,LARGE
Rarahu (1929 NA),3.016819112,0.108361181,10.82852872,145.3856368,175.2942845,2.689913031,3.343725193,5.24000991,32908,0.064,6.5447,K,S,1.67656,27.512,SMALL
Una,2.727733591,0.066975169,3.823882091,8.599983549,52.36198779,2.545043173,2.910424009,4.505169447,44287,0.0625,11.033,C,CX,1.55919,81.24,LARGE
Ausonia,2.395430898,0.126905511,5.775580893,337.7332923,295.9440817,2.091437516,2.699424281,3.707521456,57880,0.125,9.298,Sa,S,1.08249,116.044,LARGE
Bellona,2.77576593,0.151862613,9.429548932,144.2961697,344.1009091,2.354230863,3.197300998,4.624688265,59495,0.1763,15.706,S,S,1.37086,120.9,LARGE
Kilia (1901 GJ),2.405197289,0.094003255,7.226291596,173.2339714,47.24118156,2.179100915,2.631293662,3.730218406,43084,0.148,290,S,S,1.17956,27.75,SMALL
Hypatia,2.907010894,0.089580528,12.41114426,183.8817881,210.7422931,2.646599324,3.167422465,4.95653516,46343,0.039,8.8749,Ch,C,1.65788,155.659,LARGE
Gryphia (1902 KH),2.198598381,0.079486218,3.791419653,207.593242,259.0049692,2.023840111,2.373356652,3.260070997,42668,0.193,1072,S,S,1.04487,14.403,SMALL
Hesperia,2.976722487,0.170327335,8.591269314,184.9969793,289.1865931,2.469705279,3.483739695,5.135890132,57815,0.1402,5.655,X,M,1.50235,138.13,LARGE
Mayall (1975 RA),1.887359397,0.111018933,33.99069514,306.0344941,38.43575144,1.677826771,2.096892023,2.592925948,16057,0.244,2.5678,S,S,0.693575,8.252,SMALL
Roxane,2.286650306,0.0850737,1.765678387,151.351714,186.7279625,2.092116503,2.481184109,3.457863399,46730,0.926,8.169,Xe,E,1.08181,18.648,SMALL
Phaeo,2.780799918,0.246154686,8.054398749,252.3646226,114.9328926,2.096292986,3.46530685,4.637274615,46644,0.089,17.5845,X,X,1.11016,69.855,SMALL
Einstein (1973 EB),1.933539293,0.098712356,22.68111358,357.0752511,217.863008,1.742675073,2.124403512,2.688671263,16830,0.81,5.487,Xe,X,0.767434,3.975,SMALL
Cetacea (1977 VF),2.533757628,0.156317579,15.3783635,102.689312,287.066684,2.137686769,2.929828486,4.033256161,25377,0.276,39.12,Sq,S,1.20081,16.123,SMALL
Sappho,2.295864535,0.200032484,8.675456519,218.6962037,139.6536724,1.836617048,2.755112022,3.47878502,56098,0.206,14.03,S,S,0.842872,68.563,SMALL
Thetis,2.470354085,0.133031598,5.591204766,125.5529437,136.2082517,2.141718935,2.798989236,3.882817805,61117,0.193,12.27048,Sl,S,1.12981,84.899,LARGE
Sarita (1914 VH),2.633740838,0.320324924,19.05294647,33.18750189,329.5961935,1.790088004,3.477393672,4.274327148,38194,0.209,8.1755,X,XD,0.811397,43.58,SMALL
Themis,3.136171315,0.124742775,0.751587935,35.92589903,106.957169,2.744956601,3.527386028,5.554025502,60645,0.067,8.374,B,C,1.75813,198,LARGE
Amherstia (1903 MG),2.681776412,0.272002416,12.95697091,328.8061707,258.1279493,1.952326749,3.411226076,4.391794922,42173,0.202,7.4842,X,M,0.992689,65.144,SMALL
Aethra,2.608115354,0.38971054,24.99469313,258.3926161,255.1993494,1.59170531,3.624525398,4.212097311,53391,0.199,5.1684,Xe,M,0.772763,42.87,SMALL
Ophelia,3.12891885,0.132306722,2.546754598,100.4774514,56.12841126,2.714941852,3.542895847,5.534770936,45591,0.076,6.66535,C,C,1.72612,130.808,LARGE
Theresia,2.794518041,0.171430993,2.708541444,276.0376892,147.9248995,2.315451039,3.273585044,4.671631508,43866,0.171,10.702,S,S,1.32911,28.34,SMALL
Echo,2.392299537,0.184554345,3.600353945,191.5523592,271.2147491,1.950790263,2.833808812,3.700253999,57937,0.373,25.208,S,S,0.971724,43.218,SMALL
Proserpina,2.654330893,0.090144874,3.563412996,45.77798089,193.4497991,2.415056568,2.893605218,4.324548727,57907,0.1966,13.11,S,S,1.40287,94.8,LARGE
Florentina,2.885377376,0.046660537,2.587287566,40.2245869,36.24914657,2.750744118,3.020010634,4.901309591,46234,0.425,2.871,S,S,1.76614,27.974,SMALL
Menippe,2.761107146,0.179089651,11.70476642,240.8981545,70.14055434,2.266621429,3.255592862,4.588102294,40286,0.242,11.98,S,S,1.28314,35.752,SMALL
Thekla (1906 TC),3.045642509,0.061558552,1.628042996,228.4105125,252.8778061,2.858157168,3.233127851,5.315285423,41482,0.04,13.67,Ch,C,1.87488,95.203,LARGE
Varsavia (1933 FF),2.665392304,0.188690769,29.26823239,158.4746865,287.3568155,2.16245738,3.168327228,4.351609452,31386,0.0459,7.1639,Xc,X,1.32026,49.29,SMALL
Alikoski (1941 HN),3.211960771,0.082995088,17.27810015,51.45403429,110.8241417,2.945383803,3.478537739,5.756566829,29531,0.059,16.405,C,PU,2.00021,69.242,SMALL
Bathilde (1898 ED),2.806762588,0.080106251,8.159243926,253.5269474,202.893438,2.581923359,3.031601818,4.702369166,44083,0.204,10.446,Xk,M,1.60079,65.131,SMALL
Celestia (1933 DG),2.694271713,0.20758001,33.83855636,140.9097659,63.58881845,2.134994763,3.253548663,4.422524928,31550,0.215,10.636,S,S,1.27527,19.037,SMALL
Edisona (1913 QU),3.013302878,0.117603277,11.21826318,64.21608397,283.7031886,2.658928584,3.367677172,5.230851391,38894,0.121,18.52,K,S,1.68078,47.087,SMALL
Chloe (1895 BW),2.558791205,0.111908515,11.83123003,129.3421125,17.71094163,2.272440683,2.845141728,4.09317654,45438,0.164,10.664,K,S,1.28817,55.421,SMALL
Belisana,2.460885294,0.043270746,1.893839556,51.10412609,211.6764474,2.354400952,2.567369635,3.860515128,48831,0.2438,12.323,S,S,1.33862,35.81,SMALL
Amphitrite,2.554113563,0.072695536,6.082523344,356.3417672,63.36324048,2.368440909,2.739786216,4.081957767,59923,0.216,5.3921,S,S,1.3871,189.559,LARGE
Helena,2.583800893,0.140233085,10.1944726,343.3897137,348.3528839,2.221466522,2.946135264,4.153333148,54095,0.1898,23.08,S,S,1.21145,65.84,SMALL
Photographica (1899 EF),2.215192326,0.040800516,4.234976603,175.417428,349.4168906,2.124811337,2.305573316,3.297048682,44006,0.21,19.795,Sl,S,1.13169,25.504,SMALL
Kassandra,2.678568837,0.135361301,4.935770918,164.2032977,352.5416515,2.315994275,3.041143398,4.383917978,42721,0.089,10.7431,Xk,T,1.32601,94.178,LARGE
Latvia (1933 OP),2.645028762,0.171235791,10.88566571,302.7152977,115.3515886,2.192105171,3.097952353,4.301835514,31436,0.069,9.55,L,T,1.23005,41.128,SMALL
Eucharis,3.125567381,0.206253122,18.88803842,143.0211928,318.8889894,2.48090935,3.770225412,5.525880655,46380,0.101,52.23,Xk,S,1.52686,115.383,LARGE
Semiramis (1906 SY),2.373760012,0.233470854,10.72379873,282.035254,85.45546631,1.819556236,2.927963789,3.657323838,41390,0.1987,5.068,Sl,S,0.854859,54.01,SMALL
Ino,2.74325301,0.208698771,14.19554572,148.1742232,228.8737439,2.170739479,3.315766542,4.543672273,51191,0.096,6.15,Xk,C,1.19637,125.821,LARGE
Julia,2.550012155,0.184748053,16.1296026,311.549385,45.38137415,2.078902375,3.021121935,4.072129475,55791,0.189,11.387,K,S,1.10012,145.483,LARGE
Panopaea,2.615909299,0.180426174,11.59491855,47.69627906,255.389355,2.143930792,3.087887807,4.230992202,55850,0.038,15.8052,Ch,C,1.1631,127.911,LARGE
Ida,2.860693083,0.04299575,1.130194094,323.6345303,114.1360312,2.737695439,2.983690726,4.838548527,49157,0.262,4.634,S,S,1.75309,32,SMALL
Amalia,2.358235276,0.222112557,8.057572907,233.7120223,58.06386898,1.834441608,2.882028943,3.621503419,45931,0.0602,8.545,Ch,CX,0.832825,52.95,SMALL
Tynka (1925 WG),2.198868322,0.208159077,5.277226044,147.1324611,176.507651,1.741153923,2.656582722,3.260671416,42685,0.169,11.893,S,S,0.728105,13.479,SMALL
Nysa,2.423451099,0.14792291,3.706552417,131.5475633,343.3326645,2.06496716,2.781935037,3.772763601,56780,0.482,6.422,Xc,E,1.08194,70.64,SMALL
Polyxo,2.749537086,0.040542223,4.360811435,181.721202,114.5814899,2.638064742,2.861009431,4.55929376,46884,0.047,12.029,T,T,1.62539,128.578,LARGE
Pandora,2.759834767,0.142968706,7.180069492,10.38135663,5.370131629,2.365264762,3.154404772,4.584931211,56886,0.204,4.804,X,M,1.36566,84.794,LARGE
Elsa,2.415649162,0.186269328,2.005404692,107.184515,310.8520592,1.965687817,2.865610507,3.754559504,42119,0.196,80.088,S,S,0.97826,39.52,SMALL
Italia (1901 GR),2.415682815,0.187724143,5.287415632,10.66570691,322.6637774,1.962200829,2.869164802,3.754637963,42988,0.246,19.413,S,S,0.954584,22.988,SMALL
Grubba (1925 MA),2.196208493,0.187736572,3.693135719,221.7460776,94.4305075,1.783899839,2.608517147,3.254756869,41183,0.201,46.3,S,S,0.774312,11.91,SMALL
Johanna,2.755449786,0.066893199,8.244857696,31.15550354,93.7235843,2.571128935,2.939770638,4.574008359,37212,0.042,12.7988,Ch,CX,1.60307,122,LARGE
Bohlinia (1911 MW),2.886061022,0.018749894,2.354189501,35.69262996,113.4902088,2.831947685,2.94017436,4.903051631,45824,0.2029,8.919,Sq,S,1.84292,33.73,SMALL
Beatrix,2.432320402,0.081521396,4.963962317,27.73796132,168.502485,2.234034248,2.630606555,3.793493778,56348,0.05,10.16,X,X,1.23261,110.503,LARGE
Prymno,2.331833577,0.088878193,3.635933841,96.62987051,65.79299121,2.124584423,2.53908273,3.560856969,37200,0.137,8.002,X,B,1.13623,50.011,SMALL
Lutetia,2.434958098,0.163356103,3.064054861,80.86581221,249.9169213,2.037192832,2.832723363,3.799666154,55915,0.2212,8.1655,Xk,M,1.02791,95.76,LARGE
Europa,3.09309139,0.11036926,7.478751879,128.6061595,343.5585228,2.751709183,3.434473597,5.439980343,58012,0.057,5.6304,C,CF,1.76943,303.918,LARGE
Toro (1948 OA),1.367431915,0.436061382,9.383416689,274.2458433,127.2205979,0.771147664,1.963716166,1.599067402,25900,0.31,10.1995,S,S,0.0507259,3.4,SMALL
Euphrosyne,3.155402311,0.220857011,26.30334546,31.11858135,61.47037758,2.458509589,3.852295033,5.605189646,58007,0.053,5.53,Cb,C,1.56992,267.08,LARGE
Coelestina,2.763297121,0.071107416,9.747882129,84.24548222,199.8595076,2.566806202,2.959788039,4.593561963,49363,0.2108,29.215,S,S,1.552,41.08,SMALL
Juno,2.669149517,0.25694232,12.98891913,169.8527598,248.1386262,1.983332047,3.354966987,4.360813923,72684,0.214,7.21,Sk,S,1.03454,246.596,LARGE
Delia (1894 BK),2.783981969,0.085157541,3.35458871,259.2799527,10.71352462,2.54690491,3.021059028,4.645236497,42301,0.033,19.71,Ch,C,1.53041,44.189,SMALL
Gaspra (1916 S45),2.209738532,0.173680725,4.107051437,253.0550486,129.9914721,1.825949542,2.593527521,3.284880198,38474,0.246,7.042,S,S,0.83209,12.2,SMALL
Esther (1906 WP),2.414335075,0.243177532,8.637034005,141.9134,257.1647595,1.827223029,3.001447121,3.75149626,40949,0.316,47.5,S,S,0.856782,21.874,SMALL
Aschera,2.610787658,0.031093849,3.435962119,341.9802283,131.232634,2.529608222,2.691967094,4.218572611,50835,1,6.835,Xc,E,1.54778,24.957,SMALL
Zelia,2.358009449,0.130888843,5.499467343,354.7517853,335.0260925,2.04937232,2.666646577,3.620983232,49065,0.188,14.537,Sl,S,1.0393,37.517,SMALL
Eva,2.632268987,0.346437462,24.47402094,76.8196558,284.0578954,1.720352399,3.544185576,4.270744624,44555,0.049,13.66,X,CX,0.880177,100.254,LARGE
Adeona,2.674520603,0.144165514,12.63561904,77.41042721,44.36212881,2.288946966,3.060094239,4.373983334,48921,0.061,15.071,Ch,C,1.32302,127.783,LARGE
Ursina (1917 BD),2.797366596,0.106453572,13.29653703,309.3529008,21.69217352,2.499576929,3.095156263,4.678776275,42462,0.116,9.386,X,M,1.4913,34.561,SMALL
Arethusa,3.065326792,0.152587237,12.99536706,243.0265829,153.9282846,2.597597046,3.533056538,5.366898402,53556,0.058,8.705,Ch,C,1.61219,147.969,LARGE
Arequipa (1912 QB),2.589509763,0.245282503,12.36892498,184.6654336,134.2308836,1.954348327,3.224671199,4.167105842,38088,0.231,7.0259,S,S,0.963454,47.804,SMALL
Chiron (1977 UB),13.66912162,0.38044891,6.946685501,209.2143781,339.8161551,8.468719205,18.86952404,50.53812366,45206,0.15,5.918,Cb,B,7.47103,166,LARGE
Seleucus (1982 DV),2.033192006,0.456058684,5.930310138,218.6516956,349.3260862,1.105937135,2.960446877,2.899184089,13457,0.22,75,K,S,0.102357,2.8,SMALL
Asia,2.421340541,0.18542693,6.030227518,202.4413347,107.0212424,1.972358797,2.870322284,3.767836185,56780,0.228,15.853,S,S,0.967588,56.309,SMALL
Lova (1917 BU),2.702149542,0.14911409,5.838181791,115.7893209,286.8542202,2.299220971,3.105078113,4.441935748,37368,0.056,41.118,Ch,C,1.31579,50.692,SMALL
Alkeste,2.630776466,0.075492879,2.957083611,187.9836207,61.88221199,2.432171577,2.829381355,4.26711281,53578,0.128,9.906,S,S,1.41966,88.648,LARGE
Tea (1900 FA),2.183198005,0.108847823,5.550035175,11.71347401,220.6255618,1.945561655,2.420834354,3.225877645,43543,0.137,6.812,S,S,0.939155,23.985,SMALL
Anteros (1973 EC),1.430457204,0.256000702,8.706410856,246.3308388,338.392153,1.064259156,1.796655253,1.710883769,16993,0.17,2.86923,L,S,0.0622122,2.3,SMALL
Pepita (1928 VA),3.068548647,0.110541144,15.82824427,216.5847499,117.1004656,2.72934777,3.407749523,5.375362055,32273,0.229,5.1054,S,C,1.76322,36.632,SMALL
Eunike,2.737506641,0.129053958,23.23752856,153.8291754,223.7579858,2.384220574,3.090792709,4.529403115,49343,0.062,21.797,C,C,1.41717,160.464,LARGE
Industria (1894 BB),2.608283328,0.067201682,8.121485206,282.2858817,264.8990667,2.433002302,2.783564354,4.212504234,45627,0.225,8.53,S,S,1.45103,74.378,LARGE
Daphne,2.760438709,0.275417534,15.79210045,178.0867398,45.89572505,2.000165488,3.520711929,4.586436293,55919,0.059,5.988,Ch,C,1.02633,205.495,LARGE
Faina (1913 RK),2.550518592,0.152592287,15.60768168,78.85525846,302.3946012,2.161329128,2.939708056,4.073342633,38817,0.047,23.678,Ch,C,1.20747,113.699,LARGE
Sylvia,3.482566201,0.093063247,10.87710567,73.04534446,263.5579669,3.158467283,3.806665118,6.499160667,45460,0.046,5.184,X,P,2.17369,253.051,LARGE
Vladimir (1932 DC),2.710690135,0.05772373,12.23179647,164.000955,298.1374266,2.554218989,2.86716128,4.463011594,31947,0.037,12.582,B,FBCU,1.59452,38.476,SMALL
Maria,2.553786541,0.063620757,14.37737874,301.2973546,158.4887337,2.391312709,2.716260373,4.081173829,43680,0.282,13.12,S,S,1.41245,33.136,SMALL
Hispania (1915 WT),2.838684388,0.140200571,15.3930227,347.5935321,344.6525947,2.440699216,3.23666956,4.782818123,40773,0.054,14.845,C,PC,1.43355,137.952,LARGE
Praxedis (1904 PB),2.774735787,0.23484946,16.85788722,193.0815905,196.3828557,2.123090587,3.426380988,4.62211403,41948,0.101,9.105,Xk,XD,1.1309,52.462,SMALL
Aletheia,3.132889323,0.128844157,10.81762957,86.85015174,168.1021101,2.72923484,3.536543805,5.545309382,44168,0.043,8.143,X,CP,1.71496,174.318,LARGE
Agathe,2.201790674,0.242027166,2.536220606,313.3113885,18.98904732,1.668897517,2.734683831,3.267173848,46327,0.2082,6.484,S,S,0.657747,9.3,SMALL
Minerva,2.756118499,0.139081848,8.556920247,4.0497956,274.8112195,2.372792444,3.139444554,4.57567354,54591,0.056,5.982,C,CU,1.3753,154.155,LARGE
Cerberus (1971 UA),1.080048255,0.466865608,16.09631,212.9252352,325.2556217,0.57581087,1.584285639,1.122465345,17538,0.22,6.8039,S,S,0.156505,1.2,SMALL
Lysistrata (1918 DZ),2.542404612,0.095068235,14.3306412,257.9700962,24.01547298,2.300702692,2.784106532,4.053920277,36907,0.214,11.26,Sl,S,1.29008,24.337,SMALL
Dejopeja,3.188001809,0.066321249,1.143016782,331.5647278,210.2318618,2.976569547,3.399434072,5.6922772,46244,0.215,6.4416,X,X,1.97954,62.483,SMALL
Thalia,2.625683428,0.234983917,10.11425811,66.84681403,60.63681441,2.008690051,3.242676805,4.254727466,59343,0.2536,12.312,S,S,1.04633,107.53,LARGE
